nr	source	title	year	type	author	journal	file	Rigor: Context described	Rigor: Study design described	Rigor: Validity discussed	Level of rigor	Relevance: Subjects	Relevance: Context	Relevance Scale	Relevance: research method	Level of industrial relevance	test model	fault model	tools	Accessibility of tools	implementation techniques	cost metrics	effectiveness metrics	other metrics	threats to validity	Number of threats	Threats	scalability	Theme	comparison of techniques	location for test evaluation (server side, client side, both sides, unspecified)	Evaluation of static vs dynamic	Ajax or synchronous	dataset	accessibility of dataset	keywords	Links	Question	citationKey	Industrial application
43	ACM	Server interface descriptions for automated testing of JavaScript web applications	2013	Conf	Jensen, Casper; Möller, Anders; Su, Zhendong 	ESEC/FSE'13: Joint Meeting of the European Software Engineering Conference and the ACM SIGSOFT Symposium on the Foundations of Software Engineering	Jensen13	1	1	1	3	0	0	1	0	1	Other	Asynchronous communication				execution time	_		Internal, External	2	Choice of test applications, choice of parameters	not discussed	Javascript errors	_	client side	both	both	simpleajax,resume,globetrotter,impresspages,buggenie,elfinder,tomatocart,eyeos	1	Web applications, automated testing, interface descriptions		How to detect errors in Javascript?	jensenServerInterfaceDescriptions2013	0
44	ACM	Exploring variability-aware execution for testing plugin-based web applications	2014	Conf	Nguyen, Hung; Kästner, Christian; Nguyen, Tien 	ICSE '14: 36th International Conference on Software Engineering	Nguyen14	0.5	1	1	2.5	0	0	1	0	0	Other	Plugin interaction conflicts	_			runtime	Output variability 		Internal, External	2	Choice of test applications, contruct validity	mentioned	Plugin conflicts	_	client side	both	both	wordpress	1	Variability-aware Execution, Testing, Configurable Code, Pluginbased Web Applications, Software Product Lines		Existing tests don’t longer match the SUT	nguyenExploringVariabilityawareExecution2014	0
45	ACM	Mining behavior models from enterprise web applications	2013	Conf	Schur, Matthias; Roth, Andreas; Zeller, Andreas 	ESEC/FSE'13: Joint Meeting of the European Software Engineering Conference and the ACM SIGSOFT Symposium on the Foundations of Software Engineering	Schur13	1	1	1	3	0	1	1	0	2	Navigation Model	Navigation	ProCrawl			runtime	Correctnes		Internal, External	3	Choice of test applications, choice of internal parameters, ground truth 	not discussed	Model based	_	client side	both	both	SAP, OXID eShop, OpenConf	1	Specication mining; dynamic analysis; model-based testing		How to generate test cases and test models?	schurMiningBehaviorModels2013	0
46	ACM	SymJS: automatic symbolic testing of JavaScript web applications	2014	Conf	Li, Guodong; Andreasen, Esben; Ghosh, Indradeep 	SIGSOFT/FSE'14: 22nd ACM SIGSOFT Symposium on the Foundations of Software Engineering	Li14	1	1	0	2	0	0	1	0	1	Other	javascript errors	SymJS	_		execution time	Coverage, found redundancy		_	0	_	not discussed	Javascript errors	ARTEMIS	client side, DOM	both	both	diff. Javascript applications	1	JavaScript, Web, Symbolic Execution, Automatic Software Testing, Event Sequence, Taint Analysis 	 	How to detect errors in Javascript?	liSymJSAutomaticSymbolic2014	0
47	ACM	Test execution checkpointing for web applications	2017	Conf	Guarnieri, Marco;Tsankov , Petar; Buchs, Tristan;Torabi Dashti, Mohammad; Basin, David 	ISSTA '17: International Symposium on Software Testing and Analysis	Guarnieri17	1	1	1	3	0	0	1	0	1	Control flow model	Navigation/Functionality	WebCheck	https://infsec.ethz.ch/research/software/webcheck.html		execution time	time efficiancy		Internal, External	2	Choice of test applications, generation of test cases	discussed	Test setup		client side	both	both	phpBB,OSCommerce,WordPress,BambooInvoice,Gallery3	1	Test Execution, Checkpointing, Web Applications		How to crawl more efficiently?	guarnieriTestExecutionCheckpointing2017	0
48	ACM	DOM-based test adequacy criteria for web applications	2014	Conf	Mirzaaghaei, Mehdi; Mesbah, Ali	ISSTA '14: International Symposium on Software Testing and Analysis	Mirzaaghaei14	1	1	1	3	1	0	1	1	2	DOM	Navigation/Functionality	_	_		time efficiancy	Kendall correlation, Correctness		Internal, External	3	Choice of test subjects, generation of tests, reproducibility	not discussed	Test metrics		client side	both	both	Phormer, Claroline	1	Test adequacy criteria, DOM, coverage, web applications		How to measure the eciency of tests?	mirzaaghaeiDOMbasedTestAdequacy2014	0
49	ACM	Static DOM event dependency analysis for testing web applications	2016	Conf	Sung, Chungha; Kusano, Markus; Sinha, Nishant; Wang, Chao 	FSE'16: 24nd ACM SIGSOFT International Symposium on the Foundations of Software Engineering	Sung16	0.5	0.5	1	2	0	0	1	0	1	DOM	Javascript errors	JSDEP	_	javascript	runtime	Coverage, found redundancy		Internal	1	Soundness of method	mentioned	Javascript errors	ARTEMIS	client side	both	both	diff. Javascript applications	1	JavaScript, Static analysis, Automated testing, Event dependency, Partial order reduction	 	How to detect errors in Javascript?	sungStaticDOMEvent2016	0
50	ACM	Leveraging existing tests in automated test generation for web applications	2014	Conf	Fard, Amin Milani; Mirzaaghaei, Mehdi; Mesbah, Ali	2015 30th IEEE/ACM International Conference on Automated Software Engineering (ASE)	Fard14	1	1	1	3	0	0	1	0	1	Navigation Model, DOM	Navigation/Functionality	Testilizer	http://salt.ece.ubc.ca/software/testilizer		execution time	Fault detection	Code Coverage	External	1	Choice of test applications, 	not discussed	Model generation	Crawljax	client side, DOM	both	both	Claroline, Phormer, WolfCMS, EnterpriseStore	1	Automated test generation; test reuse; web applications		How to generate test cases and test models?	milanifardLeveragingExistingTests2014	0
51	ACM	Diversity-based web test generation	2019	Conf	Biagiola, Matteo; Stocco, Andrea; Ricca, Filippo; Tonella, Paolo 	ESEC/FSE '19: 27th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering	Biagiola19	1	1	1	3	0	0	0	0	0	Navigation Model	Navigation/Functionality	DIG	https://github.com/matteobiagiola/FSE19-submission-material-DIG		time efficiancy	State coverage, branch coverage	 	Internal, External	3	Choice of test applications, algorithm, variations under test	not discussed	Test priorization	SuBWEB, ATUSA	client side, DOM	both	both	dimeshift,pagekit,splittypie,phoenix,retroboard,PetClinic	1	web testing, test generation, diversity, page object		How to crawl more efficiently?	biagiolaDiversitybasedWebTest2019	0
52	ACM	Visual web test repair	2018	Conf	Stocco, Andrea; Yandrapally, Rahulkrishna; Mesbah, Ali	ESEC/FSE '18: 26th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering	Stocco18	1	1	1	3	0	0	1	0	1	DOM	broken locators	Vista	https://github.com/saltlab/vista		execution time	Fault detected, Repaired faults		Internal, External	3	Choice of test applications, generation of tests,generation of taxonomy	not discussed	Regression	Water	client side, DOM	both	both	AddressBook,Claroline,Collabtive,PPMA	1	web testing, test repair, computer vision, image analysis		Existing tests don’t longer match the SUT	stoccoVisualWebTest2018	0
53	ACM	Web test dependency detection	2019	Conf	Biagiola, Matteo; Stocco, Andrea; Mesbah, Ali; Ricca, Filippo; Tonella, Paolo 	ESEC/FSE '19: 27th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering	Biagiola19_2	1	1	1	3	0	0	1	0	1	Navigation Model	Test priorization	TEDD	https://github.com/matteobiagiola/FSE19-submission-material-TEDD		runtime	time efficiancy		Internal, External	3	Choice of test applications, test flakyness, reproducability	not discussed	Test priorization	_	client side, DOM	both	both	Claroline, Addressbook, PPMA,Collabtive,MRBS,MantisBT	1	web testing, test dependency, NLP		How to crawl more efficiently?	biagiolaWebTestDependency2019	0
54	ACM	Practical AJAX race detection for JavaScript web applications	2018	Conf	Adamsen,Christoffer;   Møller, Anders; Alimadadi , Saba; Tip , Frank 	ESEC/FSE '18: 26th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering	Adamsen18	1	1	1	3	0	1	1	0	2	DOM	Asynchronous communication	AjaxRacer	https://github.com/cs-au-dk/ajaxracer		time efficiancy	number of deteced errors		Internal, External	3	Choice of test applications, choice of pages,test subject bias	not discussed	Javascript errors	_	client side, DOM	both	both	22 web pages	1	event race detection, JavaScript, dynamic analysis		How to detect errors in Javascript?	adamsenPracticalAJAXRace2018	0
55	ACM	Detecting and localizing keyboard accessibility failures in web applications	2021	Conf	Chiou, Paul; Alotaibi, Ali ; Halfond, William 	ESEC/FSE '21: 29th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering	Chiou21	1	1	1	3	0	1	1	0	2	Navigation Model,DOM	Keyboard accessability	KAFE			runtime	Inaccessible functions, keyboard traps	 	Internal, External	2	Browser specifics, manual testing	not discussed	Keyboard accessibility	aria_check,tabindex_counter,QualWeb,WAVE	client side, DOM	both	both	open web pages	0	Web Accessibility, WCAG, Software Testing, Keyboard Navigation		Check keyboard accessibility	chiouDetectingLocalizingKeyboard2021	0
56	ACM	WATERFALL: an incremental approach for repairing record-replay tests of web applications	2016	Conf	Hammoudi, Mouna , Rothermel, Gregg , Stocco, Andrea 	FSE'16: 24nd ACM SIGSOFT International Symposium on the Foundations of Software Engineering	Hammoudi16	1	1	1	3	0	0	1	0	1	DOM	broken locators	WATERFALL			runtime	Repairs done		Internal, External	4	Choice of test applications, compared only with WATER, manual test writing, metrics and measures	mentioned	Regression		client side, DOM	both	both	PHPAddressBook,PHPAgenda,PHPFusion,Joomla,MyCollaboration,Dolibarr,YourContacts	1	test case repair, web applications, record/replay tests		Existing tests don’t longer match the SUT	hammoudiWATERFALLIncrementalApproach2016	0
57	ACM	X-PERT: accurate identification of cross-browser issues in web applications	2013	Conf	Choudhary, Shauvik Roy , Prasad, Mukul , Orso, Alessandro 	2013 35th International Conference on Software Engineering (ICSE)	Choudhary13	1	1	1	3	0	0	1	0	1	DOM	cross browser compatibitlity	X-PERT			_	found problems		Internal, External	2	Choice of test applications, implementation	not discussed	Cross browser testing	Crosscheck	client side, DOM	both	both	14 web pages	1	_		Cross browser compatibility problems	choudharyXPERTAccurateIdentification2013	0
58	ACM	Link: exploiting the web of data to generate test inputs	2014	Conf	Mariani, Leonardo; Pezzè, Mauro; Riganelli,Oliviero; Santoro, Mauro 	ISSTA '14: International Symposium on Software Testing and Analysis	Mariani14	1	1	1	3	0	0	1	0	1	DOM	Navigation/Functionality	Link			_	found inputs		Internal, External	4	knowledge base, parameters,implementation, Choice of test applications	not discussed	Test input	_	DOM	both	both	Metaquerier repository	1	System testing, realistic test input, Web of data.		How to generate test cases and test models?	marianiLinkExploitingWeb2014	0
59	IEEE	Prioritizing Browser Environments for Web Application Test Execution	2018	Conf	Kwon, Jung-Hyun ; Ko, In-Young ; Rothermel, Gregg	2018 IEEE/ACM 40th International Conference on Software Engineering (ICSE)	Kwon18	1	1	1	2	0	0	1	0	1	DOM	cross browser compatibitlity	 			runtime	Faults detected		Internal, External	3	Choice of test applications, implementation, using extern tools,	not discussed	Cross browser testing		DOM	both	both	Backbone, Lodash,Bootstrap,Underscore	1	Web application testing, Regression testing, Browser environments		Cross browser compatibility problems	kwonPrioritizingBrowserEnvironments2018	0
60	IEEE	Plug the Database & Play With Automatic Testing: Improving System Testing by Exploiting Persistent Data	2020	Conf	Clerissi, D. ; Denaro, G. ; Mobilio, M. ; Mariani, L. 	2020 35th IEEE/ACM International Conference on Automated Software Engineering (ASE)	Clerissi20	1	1	1	3	0	0	1	1	2	DOM	Navigation/Functionality	DBInputs			_	found inputs		Internal, External	3	manual choice of inputs,choice of test applications, use of external tools	not discussed	Test input	Link, Random	DOM	both	both	Mantisbt,Dolibarr,Tricentis, Other	1	System testing, Web testing, Test inputs, Test generation		How to generate test cases and test models?	clerissiPlugDatabasePlay2020	0
61	IEEE	Automatic Web Testing Using Curiosity-Driven Reinforcement Learning	2021	Conf	Zheng,Yan ; Liu, Yi ; Xie, Xiaofei ; Liu, Yepang ; Ma, Lei; Hao, Jianye; Liu, Yang	2021 IEEE/ACM 43rd International Conference on Software Engineering (ICSE)	Zheng21	1	1	1	3	0	0	1	0	1	Navigation Model,DOM	Navigation/Functionality	WebExplr			time efficiancy	branch coverage, failures		Internal, External	4	initialization randomness, only client coverage, choice of parameters, choice of test applications	discussed	Crawling	CrawlJax, DIG,SUBWEB Random	DOM	both	both	Dimeshift, PageKit, Splittypie,Phoenix,Retroboard,Petclinic	1	_		How to crawl more efficiently?	zhengAutomaticWebTesting2021	0
62	IEEE	Guided test generation for web applications	2013	Conf	Thummalapenta, Suresh ; Lakshmi, K. Vasanta ; Sinha, Saurabh ; Sinha, Nishant ; Chandra, Satish 	2013 35th International Conference on Software Engineering (ICSE)	Thummalapenta13	1	1	0	2	0	0	0	0	0	Navigation Model,DOM	Navigation/Functionality	WATEG			_	rules covered		_	0	_	not discussed	Crawling	KPATH+	DOM	both	both	BookStore, Classifieds,E1vents,iTrust,Tudu	1	_		How to generate test cases and test models?	thummalapentaGuidedTestGeneration2013	0
63	IEEE	Generating Fixtures for JavaScript Unit Testing (T)	2015	Conf	Fard, Amin Milani; Mesbah Ali; Wohlstadter, Eric	2015 30th IEEE/ACM International Conference on Automated Software Engineering (ASE)	Fard15	1	1	1	3	0	0	0	0	0	DOM	javascript errors	ConFix	https://github.com/saltlab/Confix		time efficiancy	code coverage		Internal, External	2	Choice of test applications, reproducability	not discussed	Javascript errors		DOM	both	both	ToDoList, HotelReserve, Sudoku, Phormer, Jalangi, Manual	1	Test fixture, test generation, dynamic symbolic execution, concolic execution, DOM, JavaScript, web applications		How to detect errors in Javascript?	fardGeneratingFixturesJavaScript2015	0
64	IEEE	Efficient and change-resilient test automation: An industrial case study	2013	Conf	Thummalapenta, Suresh ; Devaki, Pranavadatta ; Sinha, Saurabh ; Chandra, Satish ; Gnanasundaram, Sivagami ; Nagaraj, Deepa D.Sampathkumar ; Kumar, S. ; Kumar, S. 	2013 35th International Conference on Software Engineering (ICSE)	Thummalapenta13_2	1	1	0	2	1	1	1	1	4	Navigation Model,DOM	Navigation/Functionality	ATA			_	Faults detected		_	0	_	not discussed	Model based		DOM	both	both	IBM software	0	_		How to generate test cases and test models?	thummalapentaEfficientChangeresilientTest2013	1
65	IEEE	Automated verification of pattern-based interaction invariants in Ajax applications	2013	Conf	Maezawa, Yuta ; Washizaki, Hironori ; Tanabe, Yoshinori ; Honiden, Shinichi	2013 28th IEEE/ACM International Conference on Automated Software Engineering (ASE)	Maezawa13	1	1	1	3	0	0	0	0	0	Navigation Model,DOM	Navigation/Functionality	JSVerifier			execution time	Faults detected		Internal, External	3	Choice of test applications, implementation, use of external tools	not discussed	Javascript errors		DOM	both	both	sForm,LWA,FileDLer	1	_		How to detect errors in Javascript?	maezawaAutomatedVerificationPatternbased2013	0
66	IEEE	RClassify: Classifying Race Conditions in Web Applications via Deterministic Replay	2017	Conf	Zhang, Lu ; Wang, Chao	2017 IEEE/ACM 39th International Conference on Software Engineering (ICSE)	Zhang17	1	1	0	2	0	0	0	1	0	DOM	Asynchronous communication	Rclassify			time efficiancy	classifications		_	0	_	not discussed	Javascript errors		DOM	both	both	70 webpages	1	_		How to detect errors in Javascript?	zhangRClassifyClassifyingRace2017	0
67	IEEE	Detecting Dialog-Related Keyboard Navigation Failures in Web Applications	2023	Conf	Chiou, Paul T. ; Alotaibi, Ali S. ; Halfond, William G. J.	2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE)	Chiou23	1	1	1	3	0	1	1	0	2	Navigation Model,DOM	Keyboard accessability				runtime	keyboard failures detection		Internal, External	2	Choice of browser, problem citeria, 	not discussed	Keyboard accessibility		DOM	both	both	open web pages	0	_		Check keyboard accessibility	chiouDetectingDialogRelatedKeyboard2023	0
68	IEEE	Detecting unknown inconsistencies in web applications	2017	Conf	Ocariza, Frolin S.; Pattabiraman, Karthik; Mesbah, Ali	2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE)	Ocariza17	1	1	1	3	0	0	0	0	1	DOM	javascript errors	Holocron			runtime	number of bugs and code smells		Internal, External	2	Choice of test applications, analysis of bug reports	not discussed	Javascript errors		DOM	both	both	12 open js aplications	1	_		How to detect errors in Javascript?	ocarizaDetectingUnknownInconsistencies2017	0
69	IEEE	An Empirical Analysis of UI-Based Flaky Tests	2021	Conf	Romano, Alan ; Song, Zihe ; Grandhi, Sampath ; Yang, Wei ; Wang, Weihang	2021 IEEE/ACM 43rd International Conference on Software Engineering (ICSE)	Romano21	1	1	1	3	0	0	1	1	2	Other	Flaky UI tests	_	_	_	_	_	_	Internal, External	3	Choice of test applications, correctness of methodology, generalizations of implications	not discussed	Analysis of UI tests	_	client side, DOM	dynamic	Ajax or synchronous	n.a.	0	_	_	Reasons for flaky UI tests	romanoEmpiricalAnalysisUIBased2021	0
70	IEEE	Near-Duplicate Detection in Web App Model Inference	2020	Conf	Yandrapally, Rahulkrishna ; Stocco,Andrea ; Mesbah, Ali	2020 IEEE/ACM 42nd International Conference on Software Engineering (ICSE)	Yandrapally20	1	1	1	3	0	0	1	0	1	DOM	duplicate states	_	_	_	states per minute	F-score		Internal, External	3	Choice of test applications, Choice of parameters, creating ground truth		Duplicate states	Distance scores	DOM	both	both	AddressBook, PetClinic, Claroline,SimeShift,PageKit,Phoenix,PPMA,MRBS,MantisBT	1	near-duplicate detection, reverse engineering, model-based testing		How to crawl more efficiently?	yandrapallyNearduplicateDetectionWeb2020	0
71	IEEE	Synthesizing Web Element Locators (T)	2015	Conf	Bajaj, Kartik ; Pattabiraman, Karthik ; Mesbah, Ali	2015 30th IEEE/ACM International Conference on Automated Software Engineering (ASE)	Bajaj15	1	0.5	1	2.5	0	0	1	0	1	DOM	broken locators	LED	_		runtime	Recall, Precision		Internal, External	3	Quality of negative examples,Choice of parameters,Choice of test applications	mentioned	Regression	_	DOM	both	both	Phormer, Gallery3, Wordpress, 200 web pages	1	Program synthesis, Programming by example, Element locators, CSS selectors, Web applications		How to generate test cases and test models?	bajajSynthesizingWebElement2015	0
72	IEEE	Automated Modularization of GUI Test Cases	2015	Conf	Yandrapally, Rahulkrishna ; Sridhara, Giriprasad ; Sinha,Saurabh	2015 IEEE/ACM 37th IEEE International Conference on Software Engineering	Yandrapally15	1	1	1	3	0	0	1	0	1	Navigation Model,DOM	Test improvement	_	_	_	runtime	Reduction, number of calls,		External	1	Choice of test applications	not discussed	Test generation	_	client side, DOM	both	both	Bookstore, Classifieds,jBilling,Tudulist	1	_		How to generate test cases and test models?	yandrapallyAutomatedModularizationGUI2015	0
